dt_call,num_incoming_call,num_outgoing_call,duration_incoming_call,"sum(if(calls.dst = d.id or calls.id_dstchannel = d.id, calls.billsec, 0))",duration_outgoing_call,"sum(if(calls.src = d.id or calls.id_srcchannel = d.id, calls.billsec, 0))"
2018-02-23,0,1,0:00:00,0,0:00:00,0
2018-02-24,1,7,0:00:12,12,0:00:00,0
2018-02-25,2,1,0:00:00,0,0:00:00,0
2018-02-26,0,8,0:00:00,0,0:00:13,13
2018-02-28,0,5,0:00:00,0,0:00:00,0
2018-03-01,0,6,0:00:00,0,0:00:00,0
2018-03-02,0,7,0:00:00,0,0:00:00,0
2018-05-22,9,10,0:00:33,33,0:00:03,3
2018-05-23,2,3,0:00:04,4,0:00:00,0
2018-05-24,67,63,0:17:18,1038,0:10:29,629
2018-05-25,402,83,4:01:05,14465,0:59:49,3589
2018-05-26,59,6,0:36:39,2199,0:00:25,25
2018-05-27,49,8,0:17:36,1056,0:00:34,34
2018-05-28,191,30,3:39:02,13142,0:47:31,2851
